Addresses/Brussels/Phone,Addresses/Strasbourg/Phone,Country,Constituency,Constituencies/0/end,Facebook/0,Mail/0,Name/family,Name/sur,Photo,Twitter/0,UserID,meta/updated,meta/url
+322 28 45851,+333 88 1 75851,Austria,,9999-12-31T00:00:00,,angelika.mlinar@europarl.europa.eu,MLINAR,Angelika,http://www.europarl.europa.eu/mepphoto/125026.jpg,,125026,2016-09-10T01:38:45,http://www.europarl.europa.eu/meps/en/125026/_history.html
+322 28 45181,+333 88 1 75181,Austria,,9999-12-31T00:00:00,https://www.facebook.com/ClaudiaSchmidtEU,claudia.schmidt@europarl.europa.eu,SCHMIDT,Claudia,http://www.europarl.europa.eu/mepphoto/125016.jpg,https://twitter.com/Schmidt_Clau,125016,2016-09-10T01:56:13,http://www.europarl.europa.eu/meps/en/125016/_history.html
+322 28 45288,+333 88 1 75288,Austria,,9999-12-31T00:00:00,https://www.facebook.com/heinzkurtbecker,heinzk.becker@europarl.europa.eu,BECKER,Heinz K.,http://www.europarl.europa.eu/mepphoto/107041.jpg,,107041,2016-08-09T10:21:58,http://www.europarl.europa.eu/meps/en/107041/_history.html
+322 28 45749,+333 88 1 75749,Austria,,9999-12-31T00:00:00,http://www.facebook.com/pages/Paul-R%C3%BCbig/53553538156,paul.ruebig@europarl.europa.eu,RÜBIG,Paul,http://www.europarl.europa.eu/mepphoto/2278.jpg,https://twitter.com/paulruebig,2278,2016-09-02T01:37:21,http://www.europarl.europa.eu/meps/en/2278/_history.html
+322 28 45681,+333 88 1 75681,Austria,,9999-12-31T00:00:00,https://www.facebook.com/michel.reimon,michel.reimon@europarl.europa.eu,REIMON,Michel,http://www.europarl.europa.eu/mepphoto/124935.jpg,https://twitter.com/michelreimon,124935,2016-08-10T02:09:08,http://www.europarl.europa.eu/meps/en/124935/_history.html
+322 28 45277,+333 88 1 75277,Austria,,9999-12-31T00:00:00,,georg.mayer@europarl.europa.eu,MAYER,Georg,http://www.europarl.europa.eu/mepphoto/38511.jpg,,38511,2016-08-10T01:52:25,http://www.europarl.europa.eu/meps/en/38511/_history.html
+322 28 45680,+333 88 1 75680,Austria,,9999-12-31T00:00:00,http://www.facebook.com/profile.php?id=100002114644259,franz.obermayr@europarl.europa.eu,OBERMAYR,Franz,http://www.europarl.europa.eu/mepphoto/96981.jpg,,96981,2016-08-10T02:01:15,http://www.europarl.europa.eu/meps/en/96981/_history.html
+322 28 45436,+333 88 1 75436,Austria, ,9999-12-31T00:00:00,,karoline.graswander-hainz@europarl.europa.eu ,GRASWANDER-HAINZ,Karoline,http://www.europarl.europa.eu/mepphoto/133316.jpg,,133316,2016-09-01T01:00:25,http://www.europarl.europa.eu/meps/en/133316/_history.html
+322 28 45447,+333 88 1 75447,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,https://www.facebook.com/kathleenvanbrempt,kathleen.vanbrempt@europarl.europa.eu,VAN BREMPT,Kathleen,http://www.europarl.europa.eu/mepphoto/5729.jpg,https://twitter.com/kvanbrempt,5729,2016-08-10T02:35:47,http://www.europarl.europa.eu/meps/en/5729/_history.html
+322 28 45566,+333 88 1 75566,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,https://www.facebook.com/GuyVerhofstadt?ref=hl,guy.verhofstadt@europarl.europa.eu,VERHOFSTADT,Guy,http://www.europarl.europa.eu/mepphoto/97058.jpg,http://twitter.com/GuyVerhofstadt,97058,2016-08-10T02:37:14,http://www.europarl.europa.eu/meps/en/97058/_history.html
+322 28 45388,+333 88 1 75388,Belgium,Collège électoral français,9999-12-31T00:00:00,https://www.facebook.com/philippe.lamberts.3,philippe.lamberts@europarl.europa.eu,LAMBERTS,Philippe,http://www.europarl.europa.eu/mepphoto/96648.jpg,https://twitter.com/ph_lamberts,96648,2016-09-08T01:15:34,http://www.europarl.europa.eu/meps/en/96648/_history.html
+322 28 45532,+333 88 1 75532,Belgium,Collège électoral français,9999-12-31T00:00:00,https://www.facebook.com/pages/Louis-MICHEL/59334014584,louis.michel@europarl.europa.eu,MICHEL,Louis,http://www.europarl.europa.eu/mepphoto/96670.jpg,https://twitter.com/LouisMichelMR,96670,2016-09-10T01:37:52,http://www.europarl.europa.eu/meps/en/96670/_history.html
+322 28 45862,+333 88 1 75862,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,,mark.demesmaeker@europarl.europa.eu,DEMESMAEKER,Mark,http://www.europarl.europa.eu/mepphoto/117477.jpg,,117477,2016-08-29T00:46:47,http://www.europarl.europa.eu/meps/en/117477/_history.html
+322 28 45343,+333 88 1 75343,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,http://www.facebook.com/HelgastevensNVA,helga.stevens@europarl.europa.eu,STEVENS,Helga,http://www.europarl.europa.eu/mepphoto/125105.jpg,https://twitter.com/StevensHelga,125105,2016-08-10T02:23:26,http://www.europarl.europa.eu/meps/en/125105/_history.html
+322 28 45623,+333 88 1 75623,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,https://www.facebook.com/ivo.belet,ivo.belet@europarl.europa.eu,BELET,Ivo,http://www.europarl.europa.eu/mepphoto/28257.jpg,http://twitter.com/ivobelet,28257,2016-06-02T00:34:33,http://www.europarl.europa.eu/meps/en/28257/_history.html
+322 28 45718,+333 88 1 75718,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,,sander.loones@europarl.europa.eu,LOONES,Sander,http://www.europarl.europa.eu/mepphoto/128717.jpg,,128717,2016-08-09T11:02:56,http://www.europarl.europa.eu/meps/en/128717/_history.html
+322 28 45918,+333 88 1 75918,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,https://www.facebook.com/tom.vandenkendelaere?fref=ts,tom.vandenkendelaere@europarl.europa.eu,VANDENKENDELAERE,Tom,http://www.europarl.europa.eu/mepphoto/129164.jpg,https://twitter.com/tomvdkendelaere,129164,2016-09-09T01:48:04,http://www.europarl.europa.eu/meps/en/129164/_history.html
+322 28 45700,+333 88 1 75700,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,,gerolf.annemans@europarl.europa.eu,ANNEMANS,Gerolf,http://www.europarl.europa.eu/mepphoto/124973.jpg,,124973,2016-09-08T00:31:08,http://www.europarl.europa.eu/meps/en/124973/_history.html
+322 28 45690,+333 88 1 75690,Belgium,Collège électoral français,9999-12-31T00:00:00,https://www.facebook.com/pages/Marie-Arena/109149719130331,maria.arena@europarl.europa.eu,ARENA,Maria,http://www.europarl.europa.eu/mepphoto/124936.jpg,https://twitter.com/Mariearenaps,124936,2016-08-09T10:19:17,http://www.europarl.europa.eu/meps/en/124936/_history.html
+322 28 45791,+333 88 1 75791,Belgium,Collège électoral français,9999-12-31T00:00:00,https://www.facebook.com/HuguesBayet,hugues.bayet@europarl.europa.eu,BAYET,Hugues,http://www.europarl.europa.eu/mepphoto/125002.jpg,https://twitter.com/huguesbayet ,125002,2016-09-13T00:36:39,http://www.europarl.europa.eu/meps/en/125002/_history.html
+322 28 45661,+333 88 1 75661,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,,hilde.vautmans@europarl.europa.eu,VAUTMANS,Hilde,http://www.europarl.europa.eu/mepphoto/130100.jpg,,130100,2016-08-10T02:36:38,http://www.europarl.europa.eu/meps/en/130100/_history.html
+322 28 45549,+333 88 1 75549,Belgium,Collège électoral français,9999-12-31T00:00:00,http://www.facebook.com/pages/Fr%C3%A9d%C3%A9rique-Ries/121508211203759,frederique.ries@europarl.europa.eu,RIES,Frédérique,http://www.europarl.europa.eu/mepphoto/4253.jpg,http://twitter.com/Frederiqueries,4253,2016-08-10T02:10:02,http://www.europarl.europa.eu/meps/en/4253/_history.html
+322 28 45778,+333 88 1 75778,Belgium,Collège électoral germanophone,9999-12-31T00:00:00,https://www.facebook.com/pascal.arimont.1,pascal.arimont@europarl.europa.eu,ARIMONT,Pascal,http://www.europarl.europa.eu/mepphoto/24922.jpg,https://twitter.com/pascalarimont,24922,2016-09-08T00:31:20,http://www.europarl.europa.eu/meps/en/24922/_history.html
+322 28 45111,+333 88 1 75111,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,,lieve.wierinck@europarl.europa.eu,WIERINCK,Lieve,http://www.europarl.europa.eu/mepphoto/183022.jpg,,183022,2016-09-10T02:15:41,http://www.europarl.europa.eu/meps/en/183022/_history.html
+322 28 45444,+333 88 1 75444,Belgium,Collège électoral français,9999-12-31T00:00:00,http://www.facebook.com/pages/Marc-Tarabella/440244735250,marc.tarabella@europarl.europa.eu,TARABELLA,Marc,http://www.europarl.europa.eu/mepphoto/29579.jpg,https://twitter.com/marctarabella,29579,2016-09-02T01:47:15,http://www.europarl.europa.eu/meps/en/29579/_history.html
+322 28 45108,+333 88 1 75108,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,,anneleen.vanbossuyt@europarl.europa.eu,VAN BOSSUYT,Anneleen,http://www.europarl.europa.eu/mepphoto/117491.jpg,,117491,2016-08-10T02:35:38,http://www.europarl.europa.eu/meps/en/117491/_history.html
+322 28 45116,+333 88 1 75116,Belgium,Collège électoral français,9999-12-31T00:00:00,https://www.facebook.com/pages/Claude-Rolin/1483914865163220,claude.rolin@europarl.europa.eu,ROLIN,Claude,http://www.europarl.europa.eu/mepphoto/125107.jpg,https://twitter.com/clauderolin,125107,2016-08-10T02:11:48,http://www.europarl.europa.eu/meps/en/125107/_history.html
+322 28 45497,+333 88 1 75497,Belgium,Collège électoral français,9999-12-31T00:00:00,,gerard.deprez@europarl.europa.eu,DEPREZ,Gérard,http://www.europarl.europa.eu/mepphoto/1473.jpg,,1473,2016-08-09T10:34:58,http://www.europarl.europa.eu/meps/en/1473/_history.html
+322 28 45642,+333 88 1 75642,Belgium,Nederlands Kiescollege,9999-12-31T00:00:00,https://www.facebook.com/pages/Bart-Staes/37339765706,bart.staes@europarl.europa.eu,STAES,Bart,http://www.europarl.europa.eu/mepphoto/4751.jpg,https://twitter.com/BartStaes,4751,2016-09-10T02:00:34,http://www.europarl.europa.eu/meps/en/4751/_history.html
+322 28 45662,+333 88 1 75662,Bulgaria,,9999-12-31T00:00:00,http://www.facebook.com/pages/Andrey-Kovatchev/133004451640,andrey.kovatchev@europarl.europa.eu,KOVATCHEV,Andrey,http://www.europarl.europa.eu/mepphoto/97968.jpg,http://twitter.com/andreykovatchev,97968,2016-09-01T01:14:01,http://www.europarl.europa.eu/meps/en/97968/_history.html
+322 28 45248,+333 88 1 75248,Bulgaria,,9999-12-31T00:00:00,https://www.facebook.com/pages/Mariya-Gabriel/456805764356097,mariya.gabriel@europarl.europa.eu,GABRIEL,Mariya,http://www.europarl.europa.eu/mepphoto/96848.jpg,https://twitter.com/GabrielMariya,96848,2016-09-01T00:56:02,http://www.europarl.europa.eu/meps/en/96848/_history.html
+322 28 45903,+333 88 1 75903,Bulgaria,,9999-12-31T00:00:00,http://www.facebook.com/filizhyusmenova,filizhakaeva.hyusmenova@europarl.europa.eu,HYUSMENOVA,Filiz,http://www.europarl.europa.eu/mepphoto/34249.jpg,,34249,2016-08-24T01:07:52,http://www.europarl.europa.eu/meps/en/34249/_history.html
+322 28 45858,+333 88 1 75858,Bulgaria,,9999-12-31T00:00:00,,iskra.mihaylova@europarl.europa.eu,MIHAYLOVA,Iskra,http://www.europarl.europa.eu/mepphoto/125128.jpg,,125128,2016-08-10T01:54:53,http://www.europarl.europa.eu/meps/en/125128/_history.html
+322 28 45697,+333 88 1 75697,Bulgaria,,9999-12-31T00:00:00,,angel.dzhambazki@europarl.europa.eu,DZHAMBAZKI,Angel,http://www.europarl.europa.eu/mepphoto/124873.jpg,,124873,2016-08-09T10:36:55,http://www.europarl.europa.eu/meps/en/124873/_history.html
+322 28 45708,+333 88 1 75708,Bulgaria,,9999-12-31T00:00:00,https://www.facebook.com/IlyanaIotova,iliana.iotova@europarl.europa.eu,IOTOVA,Iliana,http://www.europarl.europa.eu/mepphoto/38605.jpg,https://twitter.com/IIotova,38605,2016-08-09T10:51:37,http://www.europarl.europa.eu/meps/en/38605/_history.html
+322 28 45317,+333 88 1 75317,Bulgaria,,9999-12-31T00:00:00,,nikolay.barekov@europarl.europa.eu,BAREKOV,Nikolay,http://www.europarl.europa.eu/mepphoto/124871.jpg,,124871,2016-08-20T00:33:06,http://www.europarl.europa.eu/meps/en/124871/_history.html
+322 28 45490,+333 88 1 75490,Bulgaria,,9999-12-31T00:00:00,http://www.facebook.com/pages/Svetoslav-Malinov/200371339998210,svetoslav.malinov@europarl.europa.eu,MALINOV,Svetoslav Hristov,http://www.europarl.europa.eu/mepphoto/111027.jpg,,111027,2016-09-01T01:21:10,http://www.europarl.europa.eu/meps/en/111027/_history.html
+322 28 45254,+333 88 1 75254,Bulgaria,,9999-12-31T00:00:00,,georgi.pirinski@europarl.europa.eu,PIRINSKI,Georgi,http://www.europarl.europa.eu/mepphoto/124855.jpg,,124855,2016-09-02T01:31:51,http://www.europarl.europa.eu/meps/en/124855/_history.html
+322 28 45608,+333 88 1 75608,Bulgaria,,9999-12-31T00:00:00,,nedzhmi.ali@europarl.europa.eu,ALI,Nedzhmi,http://www.europarl.europa.eu/mepphoto/34250.jpg,,34250,2016-09-07T00:30:18,http://www.europarl.europa.eu/meps/en/34250/_history.html
+322 28 45710,+333 88 1 75710,Bulgaria,,9999-12-31T00:00:00,https://www.facebook.com/andrey.novakov,andrey.novakov@europarl.europa.eu,NOVAKOV,Andrey,http://www.europarl.europa.eu/mepphoto/107212.jpg,https://twitter.com/andreynovakov,107212,2016-09-02T01:28:00,http://www.europarl.europa.eu/meps/en/107212/_history.html
+322 28 45771,+333 88 1 75771,Bulgaria,,9999-12-31T00:00:00,https://www.facebook.com/EvaPaunovaEPP,eva.paunova@europarl.europa.eu,PAUNOVA,Eva,http://www.europarl.europa.eu/mepphoto/98341.jpg,https://twitter.com/evapaunova,98341,2016-09-09T01:24:47,http://www.europarl.europa.eu/meps/en/98341/_history.html
+322 28 45189,+333 88 1 75189,Bulgaria,,9999-12-31T00:00:00,,emil.radev@europarl.europa.eu,RADEV,Emil,http://www.europarl.europa.eu/mepphoto/124850.jpg,https://twitter.com/emil_radev,124850,2016-09-02T01:34:05,http://www.europarl.europa.eu/meps/en/124850/_history.html
+322 28 45654,+333 88 1 75654,Bulgaria,,9999-12-31T00:00:00,https://www.facebook.com/Stanishev.Sergei/ ,sergei.stanishev@europarl.europa.eu,STANISHEV,Sergei,http://www.europarl.europa.eu/mepphoto/124852.jpg,https://twitter.com/SergeiStanishev,124852,2016-08-10T02:22:43,http://www.europarl.europa.eu/meps/en/124852/_history.html
+322 28 45145,+333 88 1 75145,Bulgaria,,9999-12-31T00:00:00,https://www.facebook.com/vladimir.urutchev,vladimir.urutchev@europarl.europa.eu,URUTCHEV,Vladimir,http://www.europarl.europa.eu/mepphoto/38601.jpg,,38601,2016-08-10T02:33:49,http://www.europarl.europa.eu/meps/en/38601/_history.html
+322 28 45178,+333 88 1 75178,Bulgaria,,9999-12-31T00:00:00,,ilhan.kyuchyuk@europarl.europa.eu,KYUCHYUK,Ilhan,http://www.europarl.europa.eu/mepphoto/124866.jpg,,124866,2016-09-01T01:15:27,http://www.europarl.europa.eu/meps/en/124866/_history.html
+322 28 45201,+333 88 1 75201,Bulgaria,,9999-12-31T00:00:00,https://www.facebook.com/momchil.nekov,momchil.nekov@europarl.europa.eu,NEKOV,Momchil,http://www.europarl.europa.eu/mepphoto/125013.jpg,https://twitter.com/momchilnekov,125013,2016-09-10T01:41:46,http://www.europarl.europa.eu/meps/en/125013/_history.html
+322 28 45955,+333 88 1 75955,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/andrej.plenkovic.rh#!/andrej.plenkovic.rh,andrej.plenkovic@europarl.europa.eu,PLENKOVI?,Andrej,http://www.europarl.europa.eu/mepphoto/112755.jpg,https://twitter.com/AndrejPlenkovic,112755,2016-09-09T01:26:46,http://www.europarl.europa.eu/meps/en/112755/_history.html
+322 28 45948,+333 88 1 75948,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/PiculaTonino,tonino.picula@europarl.europa.eu,PICULA,Tonino,http://www.europarl.europa.eu/mepphoto/112744.jpg,https://twitter.com/TPicula,112744,2016-08-25T01:31:28,http://www.europarl.europa.eu/meps/en/112744/_history.html
+322 28 45636,+333 88 1 75636,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/tomasicruza,ruza.tomasic@europarl.europa.eu,TOMAŠI?,Ruža,http://www.europarl.europa.eu/mepphoto/119431.jpg,https://twitter.com/ruzatomasic,119431,2016-09-10T02:06:52,http://www.europarl.europa.eu/meps/en/119431/_history.html
+322 28 45175,+333 88 1 75175,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/dubravka.suica,dubravka.suica@europarl.europa.eu,ŠUICA,Dubravka,http://www.europarl.europa.eu/mepphoto/119434.jpg,https://twitter.com/dubravkasuica,119434,2016-09-02T01:45:01,http://www.europarl.europa.eu/meps/en/119434/_history.html
+322 28 45429,+333 88 1 75429,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/Petir.Marijana,marijana.petir@europarl.europa.eu,PETIR,Marijana,http://www.europarl.europa.eu/mepphoto/124749.jpg,,124749,2016-09-02T01:30:56,http://www.europarl.europa.eu/meps/en/124749/_history.html
+322 28 45932,+333 88 1 75932,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/pages/Biljana-Borzan/478557245556978,biljana.borzan@europarl.europa.eu,BORZAN,Biljana,http://www.europarl.europa.eu/mepphoto/112748.jpg,https://twitter.com/BiljanaBorzan,112748,2016-09-06T00:38:59,http://www.europarl.europa.eu/meps/en/112748/_history.html
+322 28 45828,+333 88 1 75828,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/davor.skrlec,davor.skrlec@europarl.europa.eu,ŠKRLEC,Davor,http://www.europarl.europa.eu/mepphoto/124756.jpg,https://twitter.com/DavorSkrlec,124756,2016-09-02T01:42:16,http://www.europarl.europa.eu/meps/en/124756/_history.html
+322 28 45587,+333 88 1 75587,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/jozorados,jozo.rados@europarl.europa.eu,RADOŠ,Jozo,http://www.europarl.europa.eu/mepphoto/112753.jpg,,112753,2016-08-25T01:34:20,http://www.europarl.europa.eu/meps/en/112753/_history.html
+322 28 45734,+333 88 1 75734,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/ivana.maletic.cro,ivana.maletic@europarl.europa.eu,MALETI?,Ivana,http://www.europarl.europa.eu/mepphoto/119436.jpg,https://twitter.com/MaleticIvana,119436,2016-09-08T01:20:22,http://www.europarl.europa.eu/meps/en/119436/_history.html
+322 28 45639,+333 88 1 75639,Croatia,,9999-12-31T00:00:00,,ivan.jakovcic@europarl.europa.eu,JAKOV?I?,Ivan,http://www.europarl.europa.eu/mepphoto/124754.jpg,,124754,2016-08-09T10:52:50,http://www.europarl.europa.eu/meps/en/124754/_history.html
+322 28 45579,+333 88 1 75579,Croatia,,9999-12-31T00:00:00,https://www.facebook.com/davorstier,davor.stier@europarl.europa.eu,STIER,Davor Ivo,http://www.europarl.europa.eu/mepphoto/119435.jpg,https://twitter.com/davorstier,119435,2016-09-09T01:38:59,http://www.europarl.europa.eu/meps/en/119435/_history.html
+322 28 45754,+333 88 1 75754,Cyprus,,9999-12-31T00:00:00,,neoklis.sylikiotis@europarl.europa.eu,SYLIKIOTIS,Neoklis,http://www.europarl.europa.eu/mepphoto/124689.jpg,https://twitter.com/sylikiotis    ,124689,2016-04-28T02:33:08,http://www.europarl.europa.eu/meps/en/124689/_history.html
+322 28 45293,+333 88 1 75293,Cyprus,,9999-12-31T00:00:00,https://www.facebook.com/elenitheocharous,eleni.theocharous@europarl.europa.eu,THEOCHAROUS,Eleni,http://www.europarl.europa.eu/mepphoto/25704.jpg,https://twitter.com/THEOCHAROUSE,25704,2016-08-25T01:48:06,http://www.europarl.europa.eu/meps/en/25704/_history.html
+322 28 45604,+333 88 1 75604,Cyprus,,9999-12-31T00:00:00,https://www.facebook.com/demetres.papadakis,demetris.papadakis@europarl.europa.eu,PAPADAKIS,Demetris,http://www.europarl.europa.eu/mepphoto/124692.jpg,https://twitter.com/DemPapadakis,124692,2016-08-10T02:02:47,http://www.europarl.europa.eu/meps/en/124692/_history.html
+322 28 45876,+333 88 1 75876,Cyprus,,9999-12-31T00:00:00,https://www.facebook.com/ChristoforouLefteris,lefteris.christoforou@europarl.europa.eu,CHRISTOFOROU,Lefteris,http://www.europarl.europa.eu/mepphoto/26837.jpg,https://twitter.com/LefChristoforou,26837,2016-08-24T00:43:38,http://www.europarl.europa.eu/meps/en/26837/_history.html
+322 28 45657,+333 88 1 75657,Cyprus,,9999-12-31T00:00:00,http://www.facebook.com/search.php?q=THEIN%2C+Alexandra&init=quick&tas=0.7750908017052294&search_first_focus=1302518842575#!/profile.php?id=1283133748,takis.hadjigeorgiou@europarl.europa.eu,HADJIGEORGIOU,Takis,http://www.europarl.europa.eu/mepphoto/96907.jpg,https://twitter.com/thadjigeorgiou,96907,2016-04-19T01:19:24,http://www.europarl.europa.eu/meps/en/96907/_history.html
+322 28 45648,+333 88 1 75648,Cyprus,,9999-12-31T00:00:00,https://www.facebook.com/costas.mavrides.3 ,costas.mavrides@europarl.europa.eu,MAVRIDES,Costas,http://www.europarl.europa.eu/mepphoto/124691.jpg,,124691,2016-09-02T01:22:41,http://www.europarl.europa.eu/meps/en/124691/_history.html
+322 28 45787,+333 88 1 75787,Czech Republic,,9999-12-31T00:00:00,,pavel.telicka@europarl.europa.eu,TELI?KA,Pavel,http://www.europarl.europa.eu/mepphoto/124706.jpg,https://twitter.com/@Telicka,124706,2016-08-10T02:29:16,http://www.europarl.europa.eu/meps/en/124706/_history.html
+322 28 45415,+333 88 1 75415,Czech Republic,,9999-12-31T00:00:00,,petr.jezek@europarl.europa.eu,JEŽEK,Petr,http://www.europarl.europa.eu/mepphoto/124707.jpg,https://twitter.com/@JezekCZ,124707,2016-09-08T01:09:10,http://www.europarl.europa.eu/meps/en/124707/_history.html
+322 28 45303,+333 88 1 75303,Czech Republic,,9999-12-31T00:00:00,https://www.facebook.com/svobodakdu,pavel.svoboda@europarl.europa.eu,SVOBODA,Pavel,http://www.europarl.europa.eu/mepphoto/96272.jpg,https://twitter.com/1PavelSvoboda,96272,2016-09-02T01:45:24,http://www.europarl.europa.eu/meps/en/96272/_history.html
+322 28 45168,+333 88 1 75168,Czech Republic,,9999-12-31T00:00:00,,katerina.konecna@europarl.europa.eu,KONE?NÁ,Kate?ina,http://www.europarl.europa.eu/mepphoto/23699.jpg,,23699,2016-09-01T01:13:24,http://www.europarl.europa.eu/meps/en/23699/_history.html
+322 28 45565,+333 88 1 75565,Czech Republic,,9999-12-31T00:00:00,https://www.facebook.com/michaela.sojdrova,michaela.sojdrova@europarl.europa.eu,ŠOJDROVÁ,Michaela,http://www.europarl.europa.eu/mepphoto/124710.jpg,https://twitter.com/msojdrova,124710,2016-09-09T01:37:28,http://www.europarl.europa.eu/meps/en/124710/_history.html
+322 28 45501,+333 88 1 75501,Czech Republic,,9999-12-31T00:00:00,,petr.mach@europarl.europa.eu,MACH,Petr,http://www.europarl.europa.eu/mepphoto/84175.jpg,,84175,2016-08-09T11:05:10,http://www.europarl.europa.eu/meps/en/84175/_history.html
+322 28 45492,+333 88 1 75492,Czech Republic,,9999-12-31T00:00:00,https://www.facebook.com/pages/Jarom%C3%ADr-%C5%A0t%C4%9Btina/137165332972128?fref=ts#,jaromir.stetina@europarl.europa.eu,ŠT?TINA,Jaromír,http://www.europarl.europa.eu/mepphoto/124702.jpg,https://twitter.com/JaroDinoStetina,124702,2016-09-02T01:44:04,http://www.europarl.europa.eu/meps/en/124702/_history.html
+322 28 45666,+333 88 1 75666,Czech Republic,,9999-12-31T00:00:00,http://www.facebook.com/#!/zahradil,jan.zahradil@europarl.europa.eu,ZAHRADIL,Jan,http://www.europarl.europa.eu/mepphoto/23712.jpg,,23712,2016-08-25T01:57:07,http://www.europarl.europa.eu/meps/en/23712/_history.html
+322 28 45857,+333 88 1 75857,Czech Republic,,9999-12-31T00:00:00,,martina.dlabajova@europarl.europa.eu,DLABAJOVÁ,Martina,http://www.europarl.europa.eu/mepphoto/124709.jpg,https://twitter.com/@Mdlabajova,124709,2016-08-12T00:57:10,http://www.europarl.europa.eu/meps/en/124709/_history.html
